Portfolio,Annual_Return,Annual_Volatility,Sharpe,Max_Drawdown
Equal Weight,0.08290038256133453,0.13062147838748958,0.6346611873080317,0.27576622763652225
Minimum Variance,0.05024803204009031,0.0896124816394408,0.560725817663048,0.21853251435213272
Maximum Sharpe,0.2082022372552566,0.17365355242896832,1.1989517884491316,0.21777434313980149
