Asset,Mean_Return,Annual_Return,Daily_Volatility,Annual_Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown
DBC,1.885135687143171e-4,0.047505419316007914,0.011317042958134583,0.1796524874631532,0.26442951047784014,0.022634149770342903,0.45310321124766106
EEM,2.782512952912822e-4,0.07011932641340311,0.013213037788493646,0.20975047231231825,0.3342987772108351,0.028958835314826504,0.42290437436607464
EFA,3.0328982298201954e-4,0.07642903539146892,0.010947603323478324,0.1737878150766471,0.4397836255537293,0.03772522182680353,0.3700970992449395
GLD,4.0622022004028335e-4,0.1023674954501514,0.010133673771080143,0.16086708399441688,0.6363483001513487,0.056237443788344284,0.2811449989863998
IWM,3.70647621440233e-4,0.0934032006029387,0.014195921669140243,0.22535327020738818,0.41447457370812313,0.03609719027483204,0.4463435787489176
QQQ,7.051108258262457e-4,0.17768792810821393,0.013845134459313324,0.21978469588556263,0.8084636074967312,0.07117208485255268,0.38502051320977193
SPY,5.105784714041136e-4,0.12866577479383662,0.011144648305457848,0.17691580719311323,0.7272712192042339,0.06348590898933006,0.35745868803038705
TLT,-2.1319185190784698e-5,-0.005372434668077744,0.009351775071875344,0.14845482694317208,-0.036189019775923426,-0.0031948331328528535,0.5110638049938656
VNQ,2.1943530811138068e-4,0.05529769764406793,0.012892377658806747,0.20466015056116674,0.2701927927466325,0.022816519113481593,0.4528555652749454
