Eigenvalue
7.872659680142111e-4
1.3701283418945866e-4
1.1958911333115549e-4
8.447755731392314e-5
5.60683004031476e-5
5.129180167380112e-5
3.6604636065057453e-5
1.9737314228049116e-5
4.237891101954295e-6
