Asset,Equal,MinimumVariance,MaximumSharpe
DBC,0.1111111111111111,0.19763769258899552,0.19763769258899552
EEM,0.1111111111111111,1.423268502424908e-18,1.423268502424908e-18
EFA,0.1111111111111111,0.05166136909222842,0.05166136909222842
GLD,0.1111111111111111,0.129050581121696,0.129050581121696
IWM,0.1111111111111111,-1.6073873239861406e-17,-1.6073873239861406e-17
QQQ,0.1111111111111111,5.0101806018573964e-17,5.0101806018573964e-17
SPY,0.1111111111111111,0.2017330225272605,0.2017330225272605
TLT,0.1111111111111111,0.4199173346698196,0.4199173346698196
VNQ,0.1111111111111111,0,0
